STATE,STATE_NAME,TOTAL
1,Alabama,3907038
2,Alaska ,533227
4,Arizona ,4978762
5,Arkansas ,2119578
6,California,25532920
8,Colorado ,3974521
9,Connecticut,2566673
10,Delaware,742524
11,Dist. of Col. ,455602
12,Florida,14262715
13,Georgia,6906191
15,Hawaii,909797
16,Idaho,1135009
17,Illinois,8462193
18,Indiana  ,4467848
19,Iowa,2224130
20,Kansas,2028657
21,Kentucky ,3021266
22,Louisiana,3357091
23,Maine ,1019879
24,Maryland,4185752
25,Massachusetts,5040662
26,Michigan,7104484
27,Minnesota,3351430
28,Mississippi,1988396
29,Missouri ,4213302
30,Montana,781427
31,Nebraska,1394301
32,Nevada ,1835511
33,New Hampshire,1074766
34,New Jersey  ,6179318
35,New Mexico  ,1467782
36,New York,11689839
37,North Carolina,7160621
38,North Dakota,545027
39,Ohio,7923439
40,Oklahoma,2621733
41,Oregon,2808548
42,Pennsylvania,8942967
44,Rhode Island,745470
45,South Carolina ,3683824
46,South Dakota,655707
47,Tennessee ,4621401
48,Texas,15879876
49,Utah,1913564
50,Vermont,548799
51,Virginia,5820209
53,Washington,5516134
54,West Virginia,1167346
55,Wisconsin,4194759
56,Wyoming,422450
